,Milk,Beef,"Fish, excluding fillets",Rice,"Black or green gram beans, dried",Guavas & mangoes,Pineapples,Bananas and plantains
Japan,0.00,55184.00,7133580.00,123851722.00,92953.00,4754939.00,36294.00,1651787.00
South Korea,16921.00,0.00,2379.00,3925884.00,0.00,21244854.00,86518.00,55210.00
Hong Kong,17978339.00,0.00,271380.00,166077945.00,786580.00,4515746.00,55377.00,587938.00
Taiwan,3612.00,0.00,374435.00,12704546.00,351586.00,87191.00,0.00,13648.00
Malaysia,574161.00,0.00,13239284.00,170393732.00,913880.00,2336874.00,133132.00,105852.00
Singapore,2636918.00,0.00,3290555.00,92571271.00,1134720.00,2142945.00,138072.00,293009.00
Indonesia,333414.00,0.00,0.00,162570488.00,1158902.00,3887.00,0.00,0.00
Myanmar,2033805.00,26814.00,1457253.00,11793260.00,54334.00,2565973.00,35299.00,2476.00
Philippines,5515354.00,0.00,6507.00,102614048.00,83400.00,822347.00,0.00,0.00
Australia,0.00,0.00,2053.00,54916446.00,186495.00,925685.00,216116.00,482140.00
New Zealand,5314.00,0.00,0.00,8371599.00,54728.00,513260.00,26286.00,46242.00
